step=50,batch_size=100
[2017/02/09 01:42:40] step 0, training accuracy 0.0180143
[2017/02/09 01:42:40] step 1, training accuracy 0.0207286
[2017/02/09 01:42:40] step 2, training accuracy 0.0266571
[2017/02/09 01:42:40] step 3, training accuracy 0.0291857
[2017/02/09 01:42:40] step 4, training accuracy 0.0365429
[2017/02/09 01:42:40] step 5, training accuracy 0.0383571
[2017/02/09 01:42:40] step 6, training accuracy 0.0441143
[2017/02/09 01:42:40] step 7, training accuracy 0.0471714
[2017/02/09 01:42:40] step 8, training accuracy 0.0484143
[2017/02/09 01:42:40] step 9, training accuracy 0.0553
[2017/02/09 01:42:40] step 10, training accuracy 0.0594857
[2017/02/09 01:42:40] step 11, training accuracy 0.0617714
[2017/02/09 01:42:40] step 12, training accuracy 0.0647714
[2017/02/09 01:42:40] step 13, training accuracy 0.0693
[2017/02/09 01:42:40] step 14, training accuracy 0.0706429
[2017/02/09 01:42:40] step 15, training accuracy 0.0743714
[2017/02/09 01:42:40] step 16, training accuracy 0.078
[2017/02/09 01:42:40] step 17, training accuracy 0.0785143
[2017/02/09 01:42:40] step 18, training accuracy 0.0832429
[2017/02/09 01:42:40] step 19, training accuracy 0.0863714
[2017/02/09 01:42:40] step 20, training accuracy 0.0892143
[2017/02/09 01:42:40] step 21, training accuracy 0.0917143
[2017/02/09 01:42:40] step 22, training accuracy 0.0931429
[2017/02/09 01:42:40] step 23, training accuracy 0.0996429
[2017/02/09 01:42:40] step 24, training accuracy 0.104514
[2017/02/09 01:42:40] step 25, training accuracy 0.106386
[2017/02/09 01:42:40] step 26, training accuracy 0.107743
[2017/02/09 01:42:40] step 27, training accuracy 0.113029
[2017/02/09 01:42:40] step 28, training accuracy 0.116343
[2017/02/09 01:42:40] step 29, training accuracy 0.1171
[2017/02/09 01:42:40] step 30, training accuracy 0.123086
[2017/02/09 01:42:40] step 31, training accuracy 0.125043
[2017/02/09 01:42:40] step 32, training accuracy 0.128229
[2017/02/09 01:42:40] step 33, training accuracy 0.129243
[2017/02/09 01:42:40] step 34, training accuracy 0.132314
[2017/02/09 01:42:40] step 35, training accuracy 0.134114
[2017/02/09 01:42:40] step 36, training accuracy 0.135671
[2017/02/09 01:42:40] step 37, training accuracy 0.139214
[2017/02/09 01:42:40] step 38, training accuracy 0.142457
[2017/02/09 01:42:40] step 39, training accuracy 0.143329
[2017/02/09 01:42:40] step 40, training accuracy 0.146986
[2017/02/09 01:42:40] step 41, training accuracy 0.148214
[2017/02/09 01:42:40] step 42, training accuracy 0.151143
[2017/02/09 01:42:40] step 43, training accuracy 0.153043
[2017/02/09 01:42:40] step 44, training accuracy 0.153414
[2017/02/09 01:42:40] step 45, training accuracy 0.159114
[2017/02/09 01:42:40] step 46, training accuracy 0.1596
[2017/02/09 01:42:40] step 47, training accuracy 0.162314
[2017/02/09 01:42:40] step 48, training accuracy 0.1648
[2017/02/09 01:42:40] step 49, training accuracy 0.167429
[2017/02/09 01:42:40] test accuracy 0.167771
