[2017/02/10 05:24:12] step 0, training accuracy 0.168857, training cross entropy 259494
[2017/02/10 05:24:12] step 1, training accuracy 0.168814, training cross entropy 258853
[2017/02/10 05:24:12] step 2, training accuracy 0.173429, training cross entropy 258124
[2017/02/10 05:24:12] step 3, training accuracy 0.175757, training cross entropy 257531
[2017/02/10 05:24:12] step 4, training accuracy 0.178243, training cross entropy 256764
[2017/02/10 05:24:12] step 5, training accuracy 0.1796, training cross entropy 256146
[2017/02/10 05:24:12] step 6, training accuracy 0.183114, training cross entropy 255504
[2017/02/10 05:24:12] step 7, training accuracy 0.184143, training cross entropy 254804
[2017/02/10 05:24:12] step 8, training accuracy 0.186643, training cross entropy 254204
[2017/02/10 05:24:12] step 9, training accuracy 0.188786, training cross entropy 253509
[2017/02/10 05:24:12] step 10, training accuracy 0.190714, training cross entropy 253009
[2017/02/10 05:24:12] step 11, training accuracy 0.191529, training cross entropy 252303
[2017/02/10 05:24:12] step 12, training accuracy 0.193857, training cross entropy 251570
[2017/02/10 05:24:12] step 13, training accuracy 0.196286, training cross entropy 251070
[2017/02/10 05:24:12] step 14, training accuracy 0.200414, training cross entropy 250416
[2017/02/10 05:24:12] step 15, training accuracy 0.200857, training cross entropy 249775
[2017/02/10 05:24:12] step 16, training accuracy 0.201929, training cross entropy 249272
[2017/02/10 05:24:12] step 17, training accuracy 0.206271, training cross entropy 248447
[2017/02/10 05:24:12] step 18, training accuracy 0.208414, training cross entropy 247890
[2017/02/10 05:24:12] step 19, training accuracy 0.2106, training cross entropy 247290
[2017/02/10 05:24:12] step 20, training accuracy 0.211286, training cross entropy 246633
[2017/02/10 05:24:12] step 21, training accuracy 0.213871, training cross entropy 246094
[2017/02/10 05:24:12] step 22, training accuracy 0.216143, training cross entropy 245549
[2017/02/10 05:24:12] step 23, training accuracy 0.218314, training cross entropy 244996
[2017/02/10 05:24:12] step 24, training accuracy 0.222043, training cross entropy 244354
[2017/02/10 05:24:12] step 25, training accuracy 0.225371, training cross entropy 243713
[2017/02/10 05:24:12] step 26, training accuracy 0.227186, training cross entropy 243008
[2017/02/10 05:24:12] step 27, training accuracy 0.228671, training cross entropy 242470
[2017/02/10 05:24:12] step 28, training accuracy 0.229329, training cross entropy 241828
[2017/02/10 05:24:12] step 29, training accuracy 0.231229, training cross entropy 241390
[2017/02/10 05:24:12] step 30, training accuracy 0.235043, training cross entropy 240834
[2017/02/10 05:24:12] step 31, training accuracy 0.2355, training cross entropy 240215
[2017/02/10 05:24:12] step 32, training accuracy 0.2365, training cross entropy 239713
[2017/02/10 05:24:12] step 33, training accuracy 0.2408, training cross entropy 239113
[2017/02/10 05:24:12] step 34, training accuracy 0.241643, training cross entropy 238544
[2017/02/10 05:24:12] step 35, training accuracy 0.245471, training cross entropy 238042
[2017/02/10 05:24:12] step 36, training accuracy 0.244271, training cross entropy 237393
[2017/02/10 05:24:12] step 37, training accuracy 0.247886, training cross entropy 236916
[2017/02/10 05:24:12] step 38, training accuracy 0.249586, training cross entropy 236556
[2017/02/10 05:24:12] step 39, training accuracy 0.2509, training cross entropy 235746
[2017/02/10 05:24:12] step 40, training accuracy 0.253357, training cross entropy 235095
[2017/02/10 05:24:12] step 41, training accuracy 0.2544, training cross entropy 234609
[2017/02/10 05:24:12] step 42, training accuracy 0.255943, training cross entropy 234204
[2017/02/10 05:24:12] step 43, training accuracy 0.259071, training cross entropy 233606
[2017/02/10 05:24:12] step 44, training accuracy 0.259486, training cross entropy 233197
[2017/02/10 05:24:12] step 45, training accuracy 0.260486, training cross entropy 232568
[2017/02/10 05:24:12] step 46, training accuracy 0.261829, training cross entropy 231987
[2017/02/10 05:24:12] step 47, training accuracy 0.2636, training cross entropy 231468
[2017/02/10 05:24:12] step 48, training accuracy 0.264071, training cross entropy 230944
[2017/02/10 05:24:12] step 49, training accuracy 0.266657, training cross entropy 230386
[2017/02/10 05:24:12] test accuracy 0.267257
